ACY	39.4666	-74.5833	561059	772820	6077	1999
ACY	39.4666	-74.5833	501126	710652	5296	2000
ACY	39.4666	-74.5833	486123	682007	4952	2001
ACY	39.4666	-74.5833	615794	872707	6987	2002
ACY	39.4666	-74.5833	863739	1221197	11534	2003
ACY	39.4666	-74.5833	911959	1285198	10384	2004
ACY	39.4666	-74.5833	839208	1168581	9568	2005
ACY	39.4666	-74.5833	819041	1120901	9263	2006
ACY	39.4666	-74.5833	999897	1334302	10415	2007
ACY	39.4666	-74.5833	944584	1239915	9043	2008
ACY	39.4666	-74.5833	955934	1259539	9150	2009
ADM	34.9666	-86.8833	0	0	3	2004
ADM	34.9666	-86.8833				1990
ADM	34.9666	-86.8833	0	0	4	2000
ADM	34.9666	-86.8833	0	0	9	2001
ADM	34.9666	-86.8833	0	0	14	2003
ADM	34.9666	-86.8833				2005
ADM	34.9666	-86.8833	0	0	25	2007
ADM	34.9666	-86.8833	0	0	4	2008
ADQ	57.75	-152.4833	95126	230823	2912	1990
ADQ	57.75	-152.4833	81263	202179	2744	1991
ADQ	57.75	-152.4833	24818	132897	1524	1992
ADQ	57.75	-152.4833	33009	132353	1530	1993
ADQ	57.75	-152.4833	32519	108776	977	1994
ADQ	57.75	-152.4833	44427	117074	930	1995
ADQ	57.75	-152.4833	48966	105800	993	1996
ADQ	57.75	-152.4833	50004	127618	1342	1997
ADQ	57.75	-152.4833	56761	134991	1394	1998
ADQ	57.75	-152.4833	60430	131986	1371	1999
ADQ	57.75	-152.4833	57981	123960	1343	2000
ADQ	57.75	-152.4833	54179	106103	1370	2001
ADQ	57.75	-152.4833	123731	206310	4490	2002
ADQ	57.75	-152.4833	123109	205522	5508	2003
ADQ	57.75	-152.4833	124220	202599	5582	2004
ADQ	57.75	-152.4833	133909	224297	6648	2005
ADQ	57.75	-152.4833	134399	222481	6628	2006
ADQ	57.75	-152.4833	138195	284233	6635	2007
ADQ	57.75	-152.4833	138072	263929	6632	2008
ADQ	57.75	-152.4833	128349	231955	5769	2009
ADS	32.9686	-96.8363				1999
ADS	32.9686	-96.8363	0	0	2	1996
ADS	32.9686	-96.8363				1997
ADS	32.9686	-96.8363	0	0	3	1998
ADS	32.9686	-96.8363	0	0	17	2000
ADS	32.9686	-96.8363	0	0	110	2001
ADS	32.9686	-96.8363	0	0	147	2002
ADS	32.9686	-96.8363	0	0	68	2003
ADS	32.9686	-96.8363	0	0	136	2004
ADS	32.9686	-96.8363	10	222	80	2005
ADS	32.9686	-96.8363	16	836	78	2006
ADS	32.9686	-96.8363	0	1156	122	2007
ADS	32.9686	-96.8363	2	965	47	2008
ADS	32.9686	-96.8363	0	2352	105	2009
AEX	31.3275	-92.5486	106193	218770	7533	1997
